,country,year,iso_code,gdp_p_cap,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1,Afghanistan,1990,AFG,NA,12412311,13065984000,0.046,0.004,2.603,-0.162,-5.85,0.21,0.199,0.082,0.278,0.022,NA,NA,NA,1.537,59.182,11.51,5.71,10.814,29.611,NA,2557.586,2.43,0.026,0.002,0.403,0.032,0.964,0.772,6.74,0.543,2.84,0.229,1.85,0.149,NA,NA,31.746,0.01,0.01,0,0.01,0.01,0,0.07,0.01,0.01,NA,0.01,0.01,0.02,NA,9.58,11.97,NA,NA
2,Afghanistan,1995,AFG,NA,18110662,12307525632,0.047,0.003,1.23,-0.051,-3.99,0.068,0.1,0.166,0.015,0.001,NA,NA,NA,1.769,66.834,11.829,5.824,12.577,34.835,NA,410.195,0.604,0.022,0.001,0.322,0.018,0.661,0.529,7.83,0.432,2.88,0.159,0.824,0.045,NA,NA,7.429,0.01,0.01,0,0.01,0.01,0,0.06,0.01,0.01,NA,0.01,0.01,0.01,NA,9.58,11.97,NA,NA
3,Afghanistan,2000,AFG,NA,20779958,11283792896,0.01,0.001,0.758,-0.052,-6.4,0.036,0.067,0.128,0.004,0,NA,NA,NA,1.969,71.68,11.851,5.934,13.898,38.028,NA,284.582,0.524,0.022,0.001,0.224,0.011,0.668,0.553,9.56,0.46,3.48,0.167,0.498,0.024,NA,NA,5.914,0,0,0,0.01,0.01,0,0.06,0.01,0.01,NA,0.01,0,0,NA,11.5,13.89,NA,NA
4,Afghanistan,2005,AFG,1099,25654274,25397688320,0.006,0,1.303,0.414,46.57,0.051,0.051,0.212,0.106,0.004,NA,NA,NA,2.012,76.908,12.265,NA,15.675,40.999,NA,239.855,0.242,NA,NA,0.33,0.013,0.633,0.637,10.73,0.418,3.82,0.149,0.861,0.034,NA,NA,6.153,0,0,0,0.01,0.01,0,NA,0.01,0.01,NA,NA,0.01,0.01,NA,16.35,16.23,NA,NA
5,Afghanistan,2010,AFG,1672,29185512,47399424000,0.015,0.001,8.398,1.658,24.6,0.288,0.177,0.242,2.246,0.077,NA,NA,NA,2.079,100.149,18.011,NA,17.152,56.952,NA,1190.324,0.733,NA,NA,0.271,0.009,0.929,0.933,15.2,0.521,4.58,0.157,5.866,0.201,NA,NA,34.74,0,0.03,0.02,0.01,0.01,0,NA,0.01,0.01,NA,NA,0,0.05,NA,27.24,27.12,NA,NA
6,Afghanistan,2015,AFG,1767,34413600,62783393792,0.041,0.001,7.904,0.13,1.67,0.23,0.126,0.214,2.843,0.083,NA,NA,NA,2.228,146.593,35.191,NA,18.617,84.6,NA,1075.505,0.59,NA,NA,0.282,0.008,0.787,0.78,15.96,0.464,4.62,0.134,4.738,0.138,NA,NA,37.012,0,0.02,0.02,0.01,0.01,0,NA,0.01,0.02,NA,NA,0,0.04,NA,26.84,27.09,NA,NA
13,Albania,1990,ALB,1990,3286070,12947849216,0.308,0.094,5.445,-3.532,-39.35,1.657,0.421,0.162,2.499,0.76,5.436,1.654,0.42,8.512,172.417,56.633,NA,14.422,92.85,NA,10242.583,2.599,NA,NA,0.465,0.142,3.378,3.439,3.55,1.08,1.56,0.475,2.173,0.661,NA,NA,33.658,0.06,0.02,0.03,0.07,0.02,0.01,NA,0.02,0.03,NA,NA,0.01,0.02,NA,11.3,11.1,-0.009,-0.16
14,Albania,1995,ALB,4130,3112923,11600734208,0.081,0.026,2.066,0.154,8.05,0.664,0.178,0.091,0.161,0.052,2.474,0.795,0.213,9.039,185.435,59.843,NA,15.202,101.35,NA,7301.038,1.959,NA,NA,0.051,0.016,2.368,2.435,4.09,1.314,1.34,0.43,1.773,0.57,NA,NA,22.728,0.01,0.01,0,0.06,0.02,0.01,NA,0.02,0.03,NA,NA,0,0.02,NA,7.58,7.37,0.407,19.71
15,Albania,2000,ALB,5443,3129246,15214264320,0.073,0.023,3.004,0.029,0.99,0.96,0.198,0.105,0.07,0.022,3.805,1.216,0.25,9.31,196.684,60.235,NA,15.367,111.771,NA,9181.736,1.888,NA,NA,0.022,0.007,2.601,2.684,3.71,1.186,1.21,0.387,2.84,0.908,NA,NA,28.732,0.01,0.01,0,0.05,0.02,0.01,NA,0.01,0.03,NA,NA,0,0.03,NA,8.4,8.14,0.801,26.66
16,Albania,2005,ALB,7426,3086810,20781076480,0.194,0.063,4.199,0.095,2.32,1.36,0.202,0.12,0.073,0.024,5.722,1.854,0.275,9.963,216.187,60.642,NA,15.488,130.095,NA,11342.989,1.685,NA,NA,0.022,0.007,2.899,2.537,3.49,1.131,1.27,0.411,3.91,1.267,NA,NA,35.014,0.02,0.01,0,0.04,0.02,0.01,NA,0.01,0.03,NA,NA,0,0.04,NA,7.83,8.95,1.523,36.28
17,Albania,2010,ALB,9928,2948029,27598268416,0.502,0.17,4.448,0.194,4.57,1.509,0.161,0.123,0.429,0.145,6.082,2.063,0.22,11.812,236.834,61.708,NA,15.602,147.712,NA,12232.12,1.307,NA,NA,0.026,0.009,3.019,2.639,3.03,1.028,1.11,0.377,3.492,1.184,NA,NA,36.061,0.04,0.01,0,0.04,0.02,0.01,NA,0.01,0.03,NA,NA,0,0.03,NA,7.78,8.9,1.634,36.74
18,Albania,2015,ALB,10971,2890524,30444531712,0.773,0.268,4.496,-1.125,-20.01,1.555,0.148,0.132,0.322,0.112,5.642,1.952,0.185,15.582,261.577,65.016,NA,15.814,165.165,NA,11791.417,1.12,NA,NA,0.062,0.022,3.19,2.899,3.11,1.076,1.19,0.412,3.338,1.155,NA,NA,34.083,0.05,0.01,0,0.04,0.02,0.01,NA,0.01,0.03,NA,NA,0,0.03,NA,8.38,9.22,1.146,25.49
19,Algeria,1990,DZA,1990,25758872,117843181568,2.989,0.116,76.738,-3.071,-3.85,2.979,0.651,0.244,2.942,0.114,NA,NA,NA,46.16,1227.318,64.715,311.771,376.14,428.533,NA,12227.776,2.673,8.695,0.338,38.908,1.51,4.687,4.713,52.7,2.046,5.11,0.198,23.204,0.901,NA,NA,314.974,0.6,0.34,0.03,0.38,0.15,0.01,3.81,0.48,0.16,NA,3.44,1.01,0.25,NA,121.4,120.74,NA,NA
20,Algeria,1995,DZA,9343,28757788,145054695424,3.165,0.11,94.981,8.834,10.25,3.303,0.655,0.303,1.935,0.067,NA,NA,NA,61.101,1649.081,75.926,376.048,567.205,568.801,NA,10889.045,2.159,15.579,0.542,47.222,1.642,4.981,5.004,62.49,2.173,4.28,0.149,27.081,0.942,NA,NA,313.145,0.51,0.4,0.02,0.41,0.18,0.02,4.01,0.57,0.18,NA,6.63,1.12,0.29,NA,143.9,143.25,NA,NA
21,Algeria,2000,DZA,10258,31042238,208554147840,3.789,0.122,82.221,-9.447,-10.31,2.649,0.394,0.274,1.96,0.063,NA,NA,NA,78.05,2113.382,84.958,441.168,800.874,708.332,NA,9662.501,1.438,11.109,0.358,38.534,1.241,5.239,5.27,74.86,2.412,7.64,0.246,26.828,0.864,NA,NA,299.946,0.53,0.33,0.02,0.43,0.2,0.02,4.17,0.66,0.19,NA,4.12,0.81,0.26,NA,163.6,162.62,NA,NA
22,Algeria,2005,DZA,12374,33149718,326854475776,5.662,0.171,106.473,18.619,21.19,3.212,0.326,0.291,2.363,0.071,NA,NA,NA,100.464,2571.944,96.738,479.64,1033.003,862.099,NA,11049.01,1.121,6.185,0.187,61.211,1.847,5.672,5.6,84.3,2.543,7.8,0.235,31.052,0.937,NA,NA,366.272,0.59,0.36,0.02,0.45,0.22,0.02,3.97,0.7,0.21,NA,1.86,1.13,0.28,NA,185.65,188.02,NA,NA
23,Algeria,2010,DZA,12921,35977448,450705883136,8.252,0.229,117.813,-2.372,-1.97,3.275,0.261,0.268,1.216,0.034,NA,NA,NA,138.061,3127.579,108.269,524.777,1293.198,1063.274,NA,12201.946,0.974,9.611,0.267,53.368,1.483,5.833,5.767,82.8,2.301,8.74,0.243,45.365,1.261,NA,NA,438.995,0.66,0.35,0.01,0.49,0.23,0.02,3.79,0.74,0.22,NA,2.62,0.86,0.4,NA,207.48,209.87,NA,NA
24,Algeria,2015,DZA,13774,39728020,551519125504,8.062,0.203,149.683,7.154,5.02,3.768,0.271,0.242,0.502,0.013,NA,NA,NA,176.973,3800.143,112.127,559.83,1632.085,1319.128,NA,15543.643,1.12,6.76,0.17,78.769,1.983,6.624,6.608,89.63,2.256,12.32,0.31,55.59,1.399,NA,NA,617.518,0.56,0.42,0,0.5,0.25,0.02,3.57,0.78,0.25,NA,1.82,1.16,0.47,NA,262.52,263.14,NA,NA
31,Angola,1990,AGO,1990,11848385,11482503168,0.107,0.009,5.09,0.167,3.39,0.43,0.443,0.218,NA,NA,NA,NA,NA,6.053,115.663,NA,42.946,4.477,60.586,NA,1969.128,2.032,1.498,0.126,1.011,0.085,3.642,5.584,28.22,2.382,21.09,1.78,2.475,0.209,NA,NA,23.331,0.02,0.02,NA,0.05,0.01,NA,0.53,0.01,0.02,NA,0.59,0.03,0.03,NA,66.16,43.15,NA,NA
32,Angola,1995,AGO,3408,13945205,13143744512,0.081,0.006,10.949,7.084,183.32,0.785,0.833,0.429,NA,NA,NA,NA,NA,6.564,146.453,NA,50.756,9.693,77.838,NA,1828.268,1.94,1.403,0.101,1.048,0.075,3.824,5.473,32.23,2.311,21.08,1.512,8.416,0.604,NA,NA,25.496,0.01,0.05,NA,0.04,0.02,NA,0.54,0.01,0.02,NA,0.6,0.02,0.09,NA,76.32,53.32,NA,NA
